Cycle,a,b,c,d,e,f,g,h
0,9951.666666666668,50.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9950.93807844113,49.94983716386589,0.7979647356468488,0.00032763337294395,0.00004995760994919,0.00149872829847566,0.04234294752836735,0.01259018817014919
2,9854.21795206457,49.899435707566234,1.5854507322312124,0.00130531634758448,0.00009983038644668,0.00299491159340038,0.08536648055076584,0.02535935131672797
3,9853.499037503654,49.84919519650083,2.3700711870457947,0.00292680515440035,0.00014961834939508,0.00448855048185234,0.12906452077343303,0.03830589149155235
4,9852.781330767704,49.79911558368977,3.1518361614662007,0.00518898883739317,0.00019932171834821,0.00597965155044641,0.1734347381815026,0.05142921280878339
5,9852.064827874468,49.74919682042765,3.930755687113742,0.00808876837497449,0.00024894071266016,0.00746822137980491,0.218474811624107,0.06472872163379463
6,9851.34952485015,49.699438856303054,4.70683976591725,0.01162305664141716,0.00029847555148368,0.00895426654451038,0.2641824287789001,0.07820382657413592
7,9850.635417729374,49.64984163921793,5.4800983701750345,0.01578877836840336,0.00034792645376863,0.01043779361305883,0.31055528611670913,0.09185393847053039
8,9849.922502555228,49.60040511540686,6.250541442616987,0.02058287010666904,0.00039729363826046,0.01191880914781368,0.3575910888663163,0.10567847038790455
9,9849.210775379235,49.551129229456166,7.018178896466825,0.02600228018774496,0.00044657732349868,0.01339731970496027,0.4052875509793692,0.11967683760645155
10,9848.50023226136,49.50201392432296,7.783020615504475,0.03204396868579419,0.00049577772781537,0.01487333183446103,0.4536423950954203,0.1338484576127273
11,9847.79086927002,49.45305914135401,8.545076454128596,0.03870490737954623,0.00054489506933371,0.01634685208001115,0.5026533525070959,0.14819275009077973
12,9847.082682482069,49.40426482030454,9.304356237419222,0.04598207971432753,0.0005939295659665,0.01781788697899498,0.5523181631253923,0.16270913691331096
13,9846.375667982817,49.355630899356875,10.060869761200543,0.05387248076418855,0.00064288143541476,0.01928644306244288,0.6026345754451016,0.17739704213287222
14,9845.669821866008,49.30715731513897,10.814626792103807,0.06237311719412737,0.00069175089516629,0.02075252685498874,0.6536003465103648,0.1922558919730917
15,9844.965140233833,49.25884400274287,11.565637067630355,0.0714810072224098,0.00074053816249427,0.0222161448748281,0.7052132418803538,0.20728511481993517
16,9844.261619196935,49.21069089574296,12.313910296214758,0.08119318058298584,0.00078924345445589,0.0236773036336768,0.7574710355950801,0.22248414121299928
17,9843.559254874388,49.162697926214186,13.059456157288079,0.0915066784880027,0.00083786698789101,0.02513600963673019,0.8103715101413314,0.23785240383683745
18,9842.858043393715,49.11486502475014,13.80228430134125,0.10241855359041419,0.00088640897942077,0.02659226938262301,0.8639124564187357,0.2533893375123185
19,9842.157980890874,49.067192120480975,14.542404349988566,0.11392586994668653,0.00093486964544632,0.02804608936338971,0.9180916737059525,0.2690943791880177
20,9841.459063510258,49.019679141091274,15.279825896031268,0.12602570297960078,0.00098324920214751,0.02949747606442544,0.9729069696269907,0.28496696793164045
21,9840.761287404703,48.97232601283776,16.01455850352124,0.13871513944115105,0.00103154786548158,0.03094643596444754,1.0283561601176527,0.30100654492147805
22,9840.064648735472,48.92513266056692,16.74661170782482,0.15199127737553958,0.00107976585118192,0.03239297553545762,1.084437069392105,0.3172125534378962
